
Gurobi 12.0.2 (win64) logging started Tue Nov 18 11:17:18 2025

Set parameter LogFile to value "resultados DATA_1_n20m10b2d1\instancia_6_log.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 2 physical cores, 4 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  3600

Optimize a model with 4870 rows, 22732 columns and 3270408 nonzeros
Model fingerprint: 0x247ce481
Variable types: 0 continuous, 22732 integer (22732 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-02, 5e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 6e+01]
Found heuristic solution: objective 0.8088750
Presolve removed 199 rows and 6766 columns (presolve time = 5s)...
Presolve removed 276 rows and 6766 columns (presolve time = 10s)...
Presolve removed 276 rows and 6766 columns (presolve time = 15s)...
Presolve removed 276 rows and 6766 columns (presolve time = 20s)...
Presolve removed 276 rows and 6766 columns (presolve time = 25s)...
Presolve removed 276 rows and 6766 columns
Presolve time: 26.42s
Presolved: 4594 rows, 15966 columns, 2224732 nonzeros
Found heuristic solution: objective 0.4608750
Variable types: 0 continuous, 15966 integer (15966 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   58431    9.9926671e-01   0.000000e+00   7.232944e+01   1186s
   58691    9.9926997e-01   0.000000e+00   1.001734e+02   1192s
   58811    9.9927145e-01   0.000000e+00   2.333038e+01   1196s
   59051    9.9927465e-01   0.000000e+00   4.302754e+01   1203s
   59171    9.9927649e-01   0.000000e+00   2.362479e+02   1206s
   59421    9.9927961e-01   0.000000e+00   8.753233e+01   1213s
   59551    9.9928129e-01   0.000000e+00   7.428655e+01   1217s
   59671    9.9928261e-01   0.000000e+00   5.584687e+02   1220s
   59911    9.9928539e-01   0.000000e+00   1.714603e+02   1227s
   60031    9.9928687e-01   0.000000e+00   4.906746e+01   1230s
   60291    9.9929008e-01   0.000000e+00   9.152864e+01   1237s
   60411    9.9929167e-01   0.000000e+00   3.434755e+02   1241s
   60661    9.9929485e-01   0.000000e+00   4.328982e+03   1247s
   60781    9.9929639e-01   0.000000e+00   1.634651e+02   1251s
   61021    9.9929871e-01   0.000000e+00   3.357336e+01   1257s
   61141    9.9929997e-01   0.000000e+00   3.392039e+02   1261s
   61381    9.9930191e-01   0.000000e+00   1.653957e+02   1268s
   61501    9.9930305e-01   0.000000e+00   3.373402e+02   1272s
   61621    9.9930412e-01   0.000000e+00   2.049796e+02   1275s
   61861    9.9930681e-01   0.000000e+00   1.458905e+02   1282s
   61981    9.9930765e-01   0.000000e+00   1.734546e+02   1286s
   62221    9.9930968e-01   0.000000e+00   1.858591e+02   1292s
   62351    9.9931058e-01   0.000000e+00   6.802041e+01   1296s
   62591    9.9931295e-01   0.000000e+00   1.296206e+02   1303s
   62711    9.9931379e-01   0.000000e+00   4.533900e+01   1306s
   62951    9.9931570e-01   0.000000e+00   1.047584e+02   1313s
   63071    9.9931666e-01   0.000000e+00   5.193200e+01   1316s
   63311    9.9931885e-01   0.000000e+00   4.089439e+02   1323s
   63441    9.9931995e-01   0.000000e+00   5.758477e+01   1327s
   63561    9.9932085e-01   0.000000e+00   2.407700e+01   1330s
   63801    9.9932278e-01   0.000000e+00   1.426240e+02   1338s
   63921    9.9932382e-01   0.000000e+00   9.379953e+01   1342s
   64041    9.9932451e-01   0.000000e+00   2.272190e+02   1345s
   64281    9.9932637e-01   0.000000e+00   1.984507e+01   1352s
   64401    9.9932718e-01   0.000000e+00   1.023767e+02   1356s
   64641    9.9932856e-01   0.000000e+00   3.303912e+01   1362s
   64761    9.9932943e-01   0.000000e+00   2.688963e+01   1366s
